Dates,Scores,Reviews
Oct 29 2023,positive,i really love puss in boots why didnt like about it is the animation when i got to the fighting sequence as i didnt like that it was like they couldve just kept the same information that they were using the entire time of the movie i love you with the cat lady you know she was like youre a basic cat lady but towards like towards the end of her scenes she was really funny i really liked her i wouldnt mind one more background story she said she was like that was her first time of piano in and she said her cats can play better than i was like i dont know her story that was like my two problems with the movie but i loved it it was funny he was creative i love all the characters the storyline was awesome amazing 5 star      i am really excited about sherk 5 how it ended
Oct 28 2023,positive,it was great but i felt myself get a little bored for some parts
Oct 28 2023,positive,i went into the cinema expecting to see a funny movie about a kitten wearing boots and i left with philosophical thoughts in my head
Oct 28 2023,positive,pib 2 puss in boots 2 aka puss in boots the last wish is an absolute mustsee from the opening song describing our fearless hero all the way to the end of the film at the site of the wishing star pib 2 left me laughing and crying and feeling everything in between this sequel to a spinoff of a sequel to the original shrek movie had me laughing and crying how did this happen the characters were extremely memorable for one big jack horner was a great intentionally onedimensional villain and the character of death was truly terrifying the comic relief perrito a small abandoned puppy stole the show this movie would have been pretty good with out perrito but with perrito it was great one of the best scenes in the movie had to have been when puss is having a incredibly realistic panic attack and perrito is able to do what hes always wanted to do be a therapy dog for his friend this substance in storytelling wasnt the only thing that made this movie great its style was also phenomenal based on the style of spiderman into the spiderverse this film dazzles with its color palette direction and dropped frame rate during key moments of intensity but by far the great element of this movie was just how funny and entertaining it was pib 2 is a mustsee if you havent already seen it
Oct 27 2023,positive,great story  great characters and great animation puss in boots the last wish delivers on all fronts puss is amazing the character ark he goes on is great but the thing the movie does best is the villains one of the villains might just be one of if not the best villain in an animated movie and the film also some how balances all villains perfectly this is one of dreamworks best
Oct 26 2023,positive,great movie puss is adorable and funny
Oct 25 2023,positive,a great film a 10 would not be enough it has to be more than 1000000 this film is fantastic i had the opportunity to see it in the cinema
Oct 15 2023,positive,art cannot be rushed or it wont be as perfect as it should be comparing puss in boots return to the first time he spun off from the shrek films shows how much the focus been improved to greater results certainly inspired animation being freshly stylized with increased attentive coordination while the performances vocally attributes to the thematic heft with trulyembraced passion particularly banderas who personally emphasizes with his characters mortality an exceptional homecoming to the surrounding statuses in promising thoughtprovoking forms as the film amazes over its talented displays that nicely switches between humorous fun and realistic subtextual poignancy through a conscientious story that doesnt ridicule a
Oct 12 2023,positive,outstanding movie for the whole family great message and great delivery i have already rewatched it a few times
Oct 11 2023,positive,musicanimatonsplotstory name it and this movie has is briliant the main villain is just awsome character development is also such nice thing to see best animated movie ever for me
Oct 10 2023,positive,well i got a thing for cats and ab does a great job showing how suave they can be stylish cats are so cool this and the prequel just show how cool they are ab is one suave dude
Oct 6 2023,positive,i thought this movie was a very heartwarming movie very fun for children and adults a like
Oct 6 2023,positive,this movie is awesome
Oct 6 2023,positive,i think this is the same level as shrek 1 and shrek 2
Oct 5 2023,positive,it is a film that is really hard to not like the voice performers are perfect and the film is actually quite funny the always dependable antonio banderas leads the way as puss i enjoy this concept with the fairy tale characters who wander about in this universe i loved the animation and the way the characters are drawn a very fun animated film for adults and kids sequels coming final score 8610
Sep 28 2023,neutral,too overrated i loved the message it tried to convey but it felt sooo long as i watched it anyways i loved the characters development
Sep 26 2023,positive,i really enjoyed this movie i absolutely loved the character death his whistle really changes the scene from funny to scary very quickly would recommend
Sep 23 2023,positive,to be honest its one of the best movies ive ever watched period i have watched it over 4 times already and i could sit through the entire movie for hours without skipping a second or at least mostly definitely the type of movie id recommend to anyone not just kids
Sep 17 2023,negative,puss in boots did not live up to the hype it was pretty standard animated movie and not that special the best part is the character design of the wolf i also really didnt like how it randomly switched to a stop motion style animation whenever there was action they were trying to copy spiderverse and failed it just make it hard to follow and annoying to watch its not terrible but the internet made it sound amazing and it was not that good definitely does not deserve to be rated at high as it is
Sep 17 2023,positive,this film and writing is incredible its funny although it should be a 13plus with the villain of death
Sep 17 2023,positive,a great animated film with fantastic animation great characters and great action
Sep 16 2023,positive,fantastic fun with some very clever nods to more nursery rhymes of course along with a great message for everyone outstanding selection of voice actors not the best of the shrek universe but a fitting finale for puss
Sep 15 2023,positive,now this is a good ending for puss
Sep 14 2023,positive,the animation left me with an open mouth since the start  death was a perfect character
Sep 13 2023,positive,for me it feels like the mario movie but better in every way better protagonists better villains better plot actual emotional moments and its improved in every way 810
